seedling_id,sample_id,biomass_weight_g,weight_notes
1,A1-1,0.1153,NA
2,A1-2,0.0996,NA
3,A1-3,0.124,NA
4,A2-1,0.2284,NA
5,A2-2,0.4318,NA
6,A2-3,0.1973,NA
7,A3-1,0.8354,NA
8,A3-2,0.6055,NA
9,A3-3,0.2055,NA
10,A4-1,0.0433,NA
11,A4-2,0.0433,NA
12,A4-3,0.0623,NA
13,A4-4,0.0508,NA
14,A4-5,0.0425,NA
15,A4-6,0.0406,NA
16,A5-1,0.1618,NA
17,A5-2,0.1114,NA
18,A5-3,0.2848,NA
19,A5-4,0.1016,NA
20,A5-5,0.1288,NA
21,A5-6,0.2179,NA
22,A6-1,0.4219,NA
23,A6-2,0.1815,NA
24,A6-3,0.2867,NA
25,A6-4,0.3378,NA
26,A6-5,0.2418,NA
27,A6-6,0.3135,NA
28,A7-1,0.0275,NA
29,A7-2,0.0353,NA
30,A7-3,0.0447,NA
31,A7-4,0.0164,NA
32,A7-5,0.0325,NA
33,A7-6,0.0326,NA
34,A7-7,0.0412,NA
35,A7-8,0.0723,NA
36,A7-9,0.024,NA
37,A8-1,0.1475,NA
38,A8-2,0.071,NA
39,A8-3,0.0447,NA
40,A8-4,0.0892,NA
41,A8-5,0.1113,NA
42,A8-6,0.0926,NA
43,A8-7,0.1178,NA
44,A8-8,0.0932,NA
45,A8-9,0.2018,NA
46,A9-1,0.216,NA
47,A9-2,0.2025,NA
48,A9-3,0.2146,NA
49,A9-4,0.0992,NA
50,A9-5,0.2478,NA
51,A9-6,0.2321,NA
52,A9-7,0.0693,NA
53,A9-8,0.2018,NA
54,A9-9,0.1921,NA
55,A10-1,0.0218,NA
56,A10-2,0.0321,NA
57,A10-3,0.0338,NA
58,A10-4,0.0355,NA
59,A10-5,0.0154,NA
60,A10-6,0.022,NA
61,A10-7,0.017,NA
62,A10-8,0.0207,NA
63,A10-9,0.0304,NA
64,A10-10,0.0439,NA
65,A10-11,0.0454,NA
66,A10-12,0.0303,NA
67,A11-1,0.0766,NA
68,A11-2,0.1199,NA
69,A11-3,0.0674,NA
71,A11-5,0.066,NA
72,A11-6,0.1,NA
73,A11-7,0.06,NA
74,A11-8,0.0476,NA
75,A11-9,0.1137,NA
76,A11-10,0.1351,NA
77,A11-11,0.1219,NA
78,A11-12,0.1251,NA
79,A12-1,0.578,NA
80,A12-2,0.1546,NA
81,A12-3,0.1481,NA
82,A12-4,0.2264,NA
83,A12-5,0.1447,NA
84,A12-6,0.0804,NA
85,A12-7,0.0406,NA
87,A12-9,0.0896,NA
88,A12-10,0.2242,NA
89,A12-11,0.197,NA
90,A12-12,0.298,NA
91,A13-1,0.1063,NA
92,A13-2,0.0753,NA
93,A13-3,0.1265,NA
94,A14-1,0.3064,NA
95,A14-2,0.3167,NA
96,A14-3,0.2867,NA
97,A15-1,0.4153,NA
98,A15-2,0.5879,NA
99,A15-3,0.5825,NA
100,A16-1,0.0808,NA
101,A16-2,0.0496,NA
102,A16-3,0.0499,NA
103,A16-4,0.0498,NA
104,A16-5,0.0572,NA
105,A16-6,0.0522,NA
106,A17-1,0.1601,NA
107,A17-2,0.1957,NA
108,A17-3,0.2693,NA
109,A17-4,0.1267,NA
110,A17-5,0.1415,NA
111,A17-6,0.0815,NA
112,A18-1,0.3338,NA
113,A18-2,0.3193,NA
114,A18-3,0.1718,NA
115,A18-4,0.2474,NA
116,A18-5,0.4076,NA
117,A18-6,0.1779,NA
118,A19-1,0.0652,NA
119,A19-2,0.043,NA
120,A19-3,0.0409,NA
121,A19-4,0.0414,NA
122,A19-5,0.0409,NA
3604,A19-10,0.0454,NA
123,A19-6,0.0589,NA
124,A19-7,0.0673,NA
125,A19-8,0.0491,NA
126,A19-9,0.0781,NA
127,A20-1,0.1998,NA
128,A20-2,0.1442,NA
129,A20-3,0.0905,NA
130,A20-4,0.1345,NA
131,A20-5,0.0752,NA
132,A20-6,0.0843,NA
133,A20-7,0.0563,NA
134,A20-8,0.1586,NA
135,A20-9,0.1091,NA
136,A21-1,0.2457,NA
137,A21-2,0.2804,NA
138,A21-3,0.159,NA
139,A21-4,0.1341,NA
140,A21-5,0.205,NA
141,A21-6,0.2165,NA
142,A21-7,0.1428,NA
143,A21-8,0.1452,NA
144,A21-9,0.2181,NA
145,A22-1,0.0395,NA
146,A22-2,0.0449,NA
147,A22-3,0.0368,NA
148,A22-4,0.0186,NA
149,A22-5,0.0399,NA
150,A22-6,0.0496,NA
151,A22-7,0.0519,NA
152,A22-8,0.057,NA
153,A22-9,0.073,NA
154,A22-10,0.0495,NA
155,A22-11,0.0348,NA
156,A22-12,0.058,NA
157,A23-1,0.0882,NA
158,A23-2,0.0992,NA
159,A23-3,0.1019,NA
160,A23-4,0.1106,NA
161,A23-5,0.0725,NA
162,A23-6,0.1048,NA
163,A23-7,0.1296,NA
164,A23-8,0.0483,NA
165,A23-9,0.1383,NA
166,A23-10,0.1735,NA
167,A23-11,0.0886,NA
168,A23-12,0.1828,NA
169,A24-1,0.173,NA
170,A24-2,0.0801,NA
171,A24-3,0.1049,NA
172,A24-4,0.2458,NA
173,A24-5,0.1002,NA
174,A24-6,0.2449,NA
175,A24-7,0.2076,NA
176,A24-8,0.1375,NA
177,A24-9,0.2163,NA
178,A24-10,0.1803,NA
179,A24-11,0.3262,NA
180,A24-12,0.1966,NA
181,A25-1,0.0727,NA
182,A25-2,0.1039,NA
183,A25-3,0.0098,NA
184,A25-4,0.0272,NA
185,A25-5,0.0219,NA
186,A25-6,0.073,NA
187,A26-1,0.0966,NA
188,A26-2,0.3411,NA
189,A26-3,0.1521,NA
190,A26-4,0.0498,NA
191,A26-5,0.2519,NA
192,A26-6,0.0785,NA
193,A27-1,0.0736,NA
194,A27-2,0.565,NA
195,A27-3,0.3553,NA
3603,A27-7,0.2541,NA
196,A27-4,0.189,NA
197,A27-5,0.3856,NA
198,A27-6,0.1409,NA
199,A28-1,0.0162,NA
200,A28-2,0.0493,NA
201,A28-3,0.128,NA
203,A28-5,0.0906,NA
204,A28-6,0.0518,NA
205,A28-7,0.0693,NA
206,A28-8,0.066,NA
207,A28-9,0.0927,NA
208,A29-1,0.0813,NA
209,A29-2,0.1293,NA
210,A29-3,0.1213,NA
211,A29-4,0.129,NA
212,A29-5,0.0401,NA
213,A29-6,0.1726,NA
214,A29-7,0.2145,NA
215,A29-8,0.0797,NA
216,A29-9,0.1616,NA
217,A30-1,0.3701,NA
218,A30-2,0.2296,NA
219,A30-3,0.1589,NA
220,A30-4,0.1095,NA
221,A30-5,0.3699,NA
222,A30-6,0.2009,NA
223,A30-7,0.3326,NA
224,A30-8,0.0567,NA
225,A30-9,0.3951,NA
226,A31-1,0.0114,NA
227,A31-2,0.0394,NA
228,A31-3,0.0441,NA
229,A31-4,0.0465,NA
230,A31-5,0.0302,NA
231,A31-6,0.0479,NA
232,A31-7,0.0611,NA
233,A31-8,0.0507,NA
234,A31-9,0.0175,NA
235,A31-10,0.0712,NA
236,A31-11,0.0156,NA
237,A31-12,0.0365,NA
238,A32-1,0.0775,NA
239,A32-2,0.1143,NA
240,A32-3,0.0654,NA
241,A32-4,0.0883,NA
242,A32-5,0.0892,NA
243,A32-6,0.0723,NA
244,A32-7,0.183,NA
245,A32-8,0.1403,NA
246,A32-9,0.0533,NA
247,A32-10,0.1472,NA
248,A32-11,0.0342,NA
249,A32-12,0.1157,NA
250,A33-1,0.0525,NA
251,A33-2,0.0555,NA
252,A33-3,0.3165,NA
253,A33-4,0.1099,NA
254,A33-5,0.2258,NA
255,A33-6,0.1539,NA
256,A33-7,0.1428,NA
257,A33-8,0.1497,NA
258,A33-9,0.2021,NA
259,A33-10,0.2413,NA
260,A33-11,0.1101,NA
261,A33-12,0.0305,NA
262,A34-1,0.0305,NA
263,A34-2,0.0333,NA
264,A34-3,0.0607,NA
265,A34-4,0.0388,NA
267,A34-6,0.0289,NA
268,A34-7,0.0516,NA
269,A34-8,0.0649,NA
270,A34-9,0.0252,NA
271,A35-1,0.1508,NA
272,A35-2,0.1164,NA
273,A35-3,0.1946,NA
274,A35-4,0.0325,NA
275,A35-5,0.0486,NA
276,A35-6,0.174,NA
277,A35-7,0.096,NA
278,A35-8,0.0388,NA
279,A35-9,0.0719,NA
280,A36-1,0.1804,NA
281,A36-2,0.1751,NA
282,A36-3,0.1459,NA
283,A36-4,0.3096,NA
284,A36-5,0.108,NA
285,A36-6,0.1545,NA
286,A36-7,0.1253,NA
287,A36-8,0.5717,NA
288,A36-9,0.0623,NA
289,A37-1,0.0118,NA
290,A37-2,0.0382,NA
291,A37-3,0.0235,NA
292,A37-4,0.0528,NA
293,A37-5,0.0228,NA
294,A37-6,0.0586,NA
295,A37-7,0.0129,NA
296,A37-8,0.0147,NA
297,A37-9,0.0519,NA
298,A37-10,0.0227,NA
299,A37-11,0.0473,NA
300,A37-12,0.031,NA
301,A38-1,0.464,NA
302,A38-2,0.0568,NA
303,A38-3,0.1168,NA
304,A38-4,0.0239,NA
305,A38-5,0.0312,NA
306,A38-6,0.0954,NA
307,A38-7,0.122,NA
308,A38-8,0.1552,NA
309,A38-9,0.0465,NA
310,A38-10,0.1763,NA
311,A38-11,0.1434,NA
312,A38-12,0.0723,NA
313,A39-1,0.2501,NA
314,A39-2,0.1777,NA
315,A39-3,0.1113,NA
316,A39-4,0.1105,NA
317,A39-5,0.19,NA
318,A39-6,0.0431,NA
319,A39-7,0.0445,NA
320,A39-8,0.1031,NA
321,A39-9,0.2401,NA
322,A39-10,0.1739,NA
323,A39-11,0.2553,NA
324,A39-12,0.1177,NA
325,A40-1,0.0226,NA
326,A40-2,0.0164,NA
327,A40-3,0.0187,NA
328,A40-4,0.012,NA
329,A40-5,0.0247,NA
330,A40-6,0.0157,NA
331,A40-7,0.0716,NA
332,A40-8,0.0567,NA
333,A40-9,0.0182,NA
334,A40-10,0.0241,NA
335,A40-11,0.0786,NA
336,A40-12,0.0241,NA
337,A41-1,0.0745,NA
338,A41-2,0.1452,NA
339,A41-3,0.0415,NA
340,A41-4,0.1142,NA
341,A41-5,0.0295,NA
342,A41-6,0.0228,NA
343,A41-7,0.091,NA
344,A41-8,0.0497,NA
345,A41-9,0.112,NA
346,A41-10,0.0627,NA
347,A41-11,0.141,NA
348,A41-12,0.0373,NA
349,A42-1,0.0903,NA
350,A42-2,0.2469,NA
351,A42-3,0.1429,NA
352,A42-4,0.3409,NA
353,A42-5,0.3804,NA
354,A42-6,0.0574,NA
355,A42-7,0.2006,NA
356,A42-8,0.0655,NA
357,A42-9,0.1547,NA
358,A42-10,0.173,NA
359,A42-11,0.1972,NA
360,A42-12,0.0428,NA
361,A43-1,0.0469,NA
362,A43-2,0.1832,NA
363,A43-3,0.1159,NA
364,A44-1,0.5912,NA
365,A44-2,0.06639,NA
366,A44-3,0.357,NA
367,A45-1,0.4011,NA
368,A45-2,0.4599,NA
369,A45-3,0.9958,NA
370,A46-1,0.1023,NA
371,A46-2,0.1019,NA
372,A46-3,0.0583,NA
373,A46-4,0.0684,NA
374,A46-5,0.1236,NA
375,A46-6,0.0663,NA
376,A47-1,0.2205,NA
377,A47-2,0.2241,NA
378,A47-3,0.2127,NA
379,A47-4,0.3266,NA
380,A47-5,0.1987,NA
381,A47-6,0.3375,NA
382,A48-1,0.2833,NA
383,A48-2,0.2623,NA
384,A48-3,0.4854,NA
385,A48-4,0.4095,NA
386,A48-5,0.3461,NA
387,A48-6,0.2601,NA
388,A49-1,0.0505,NA
389,A49-2,0.0569,NA
390,A49-3,0.0285,NA
391,A49-4,0.0656,NA
392,A49-5,0.0518,NA
393,A49-6,0.0641,NA
394,A49-7,0.1183,NA
395,A49-8,0.0612,NA
396,A49-9,0.1248,NA
397,A50-1,0.2165,NA
398,A50-2,0.1872,NA
399,A50-3,0.1636,NA
400,A50-4,0.2112,NA
401,A50-5,0.1288,NA
402,A50-6,0.2688,NA
403,A50-7,0.1864,NA
404,A50-8,0.1944,NA
405,A50-9,0.1854,NA
406,A51-1,0.2255,NA
407,A51-2,0.2056,NA
408,A51-3,0.4742,NA
409,A51-4,0.4655,NA
410,A51-5,0.2804,NA
411,A51-6,0.2294,NA
412,A51-7,0.2065,NA
413,A51-8,0.2668,NA
414,A51-9,0.3235,NA
415,A52-1,0.0616,NA
417,A52-3,0.309,NA
418,A52-4,0.0487,NA
419,A52-5,0.0278,NA
420,A52-6,0.0696,NA
421,A52-7,0.0822,NA
422,A52-8,0.0516,NA
423,A52-9,0.1037,NA
424,A52-10,0.0778,NA
425,A52-11,0.0813,NA
426,A52-12,0.0767,NA
427,A53-1,0.1195,NA
428,A53-2,0.1055,NA
429,A53-3,0.1486,NA
430,A53-4,0.0876,NA
431,A53-5,0.1631,NA
432,A53-6,0.1447,NA
433,A53-7,0.0731,NA
434,A53-8,0.1419,NA
435,A53-9,0.1111,NA
436,A53-10,0.1385,NA
437,A53-11,0.1745,NA
438,A53-12,0.1199,NA
439,A54-1,0.1502,NA
440,A54-2,0.3812,NA
441,A54-3,0.1174,NA
442,A54-4,0.1835,NA
