species_code,sheet,ind,aboveground,belowground,total,n
ABAR,8,1,0.0012,0.0054,0.0068,
ABAR,8,2,0.0063,0.0114,0.0178,
ABAR,8,3,0.0025,0.0053,0.0086,
ABAR,8,4,0.0014,0.0037,0.0051,
ABAR,7,1,0.003,0.0073,0.01,
ABAR,7,2,0.0068,0.0088,0.0158,
ABAR,7,3,0.0053,0.0045,0.0101,
ABAR,7,4,0.0053,0.0094,0.0149,
ABAR,6,1,0.0075,0.0165,0.024,
ABAR,6,2,0.0057,0.0089,0.0148,
ABAR,6,3,0.0064,0.011,0.0177,
ABAR,6,4,0.0033,0.0087,0.0124,
ABAR,5,1,0.0057,0.01,0.0159,
ABAR,5,2,0.0089,0.0049,0.014,
ABAR,5,3,0.002,0.0052,0.0074,
ABAR,5,4,0.0074,0.011,0.0184,
ABAR,4,1,0.0034,0.0076,0.0113,
ABAR,4,2,0.012,0.0149,0.027,
ABAR,4,3,0.0011,0.0061,0.0076,
ABAR,4,4,0.0029,0.0077,0.0111,
ABAR,3,1,0.0014,0.0056,0.0068,
ABAR,3,2,0.0054,0.0081,0.0134,
ABAR,3,3,0.0106,0.0131,0.0235,
ABAR,3,4,0.0009,0.0046,0.0054,
ABAR,2,1,0.0043,0.0071,0.0114,
ABAR,2,2,0.0053,0.0103,0.0157,
ABAR,2,3,0.0015,0.0049,0.0066,
ABAR,2,4,0.0082,0.012,0.0203,
ABAR,2,5,0.0004,0.0037,0.0044,
ABAR,1,1,0.0079,0.0138,0.022,
ABAR,1,2,0.0069,0.0097,0.0167,
ABAR,1,3,0.0054,0.0074,0.0127,
ABAR,1,4,0.004,0.0064,0.0103,
ECUR,6,,0.0001,0.0001,0.0001,7
ECUR,5,,0.0003,0.0001,0.0004,7
ECUR,4,,0.0004,0.0002,0.0005,7
ECUR,3,,0.0003,0.0003,0.0005,6
ECUR,2,,0.0004,0.0001,0.0005,7
ECUR,1,,0.0003,0.0003,0.0006,7
RCAES,6,,0.0004,0.0007,0.0011,6
RCAES,8,,0.0002,0.0001,0.0003,6
RCAES,7,,0.0005,0.0006,0.0011,5
RCAES,5,,0.0005,0.0005,0.001,5
RCAES,4,,0.0004,0.0006,0.001,5
RCAES,3,,0.0004,0.0008,0.0012,5
RCAES,2,,0.0006,0.0007,0.0013,5
RCAES,1,,0.0007,0.001,0.0017,6
PLAB,8,,0.0003,0.0001,0.0005,7
PLAB,7,,0.0003,0.0001,0.0003,7
PLAB,6,,0.0003,0.0003,0.0006,6
PLAB,5,,0.0003,0.0004,0.0006,6
PLAB,4,,0.0002,0.0002,0.0004,6
PLAB,3,,0.0002,0.0002,0.0004,6
PLAB,2,,0.0002,0.0002,0.0004,6
PLAB,1,,0.0002,0.0005,0.0007,6
ABIG,8,1,0.0023,0.0019,0.0042,
ABIG,8,2,0.0031,0.0018,0.0052,
ABIG,8,3,0.0028,0.0029,0.0056,
ABIG,8,4,0.0031,0.0031,0.0062,
ABIG,7,1,0.0021,0.0024,0.0041,
ABIG,7,2,0.0013,0.0015,0.0028,
ABIG,7,3,0.0014,0.0011,0.0027,
ABIG,7,4,0.0018,0.0026,0.0049,
ABIG,7,5,0.0019,0.0015,0.0033,
ABIG,4,1,0.0024,0.0022,0.0051,
ABIG,4,2,0.0016,0.0016,0.0035,
ABIG,4,3,0.0017,0.0014,0.0034,
ABIG,4,4,0.0027,0.0025,0.0051,
ABIG,6,1,0.0032,0.0034,0.0062,
ABIG,6,2,0.0025,0.0038,0.0064,
ABIG,6,3,0.0016,0.0019,0.0035,
ABIG,6,4,0.0021,0.0008,0.0029,
ABIG,6,5,0.0028,0.0037,0.0066,
ABIG,5,1,0.0016,0.0017,0.0034,
ABIG,5,2,0.0029,0.0027,0.0055,
ABIG,5,3,0.0018,0.0017,0.0034,
ABIG,5,4,0.0033,0.0031,0.0065,
ABIG,5,5,0.0018,0.0027,0.0044,
BDIA,7,1,0.0036,0.0025,0.0062,
BDIA,7,2,0.0063,0.0073,0.0132,
BDIA,7,3,0.0092,0.0092,0.0179,
BDIA,7,4,0.0025,0.0009,0.0036,
BDIA,7,5,0.0108,0.0083,0.0188,
BDIA,6,1,0.0068,0.0062,0.0132,
BDIA,6,2,0.0026,0.0064,0.0089,
BDIA,6,3,0.0077,0.0065,0.0141,
BDIA,6,4,0.0085,0.0072,0.0153,
BDIA,6,5,0.0044,0.0065,0.0102,
BDIA,5,1,0.0106,0.01,0.0199,
BDIA,5,2,0.0033,0.0025,0.0059,
BDIA,5,3,0.0122,0.0076,0.0197,
BDIA,5,4,0.0086,0.0072,0.0156,
BDIA,5,5,0.0025,0.0069,0.0086,
BDIA,5,6,0.006,0.0086,0.0152,
BDIA,1,1,0.0068,0.0061,0.0131,
BDIA,1,2,0.0062,0.0066,0.0129,
BDIA,1,3,0.0053,0.006,0.0114,
BDIA,1,4,0.0067,0.0085,0.0152,
BDIA,1,5,0.007,0.008,0.0151,
BDIA,1,6,0.0048,0.0052,0.0099,
BDIA,8,1,0.0026,0.0051,0.0079,
BDIA,8,2,0.0103,0.0094,0.0191,
BDIA,8,3,0.0107,0.0061,0.0169,
BDIA,8,4,0.0111,0.009,0.0206,
BDIA,8,5,0.004,0.0034,0.0075,
BDIA,3,1,0.0025,0.0074,0.0102,
BDIA,3,2,0.01,0.0087,0.0186,
BDIA,3,3,0.0054,0.0063,0.0119,
BDIA,3,4,0.0063,0.0054,0.0122,
BDIA,3,5,0.01,0.0091,0.0192,
BDIA,2,1,0.0061,0.0054,0.0114,
BDIA,2,2,0.0041,0.0053,0.009,
BDIA,2,3,0.0033,0.0043,0.0073,
BDIA,2,4,0.0037,0.0053,0.0084,
BDIA,2,5,0.0089,0.0096,0.0185,
BDIA,2,6,0.0071,0.0063,0.0137,
BDIA,1,1,0.0031,0.003,0.0064,
BDIA,1,2,0.0059,0.0044,0.0102,
BDIA,1,3,0.01,0.0072,0.0174,
BDIA,1,4,0.0082,0.0067,0.0147,
BDIA,1,5,0.0075,0.0076,0.0151,
ABIG,3,1,0.0018,0.0028,0.0044,
ABIG,3,2,0.0015,0.0029,0.0037,
ABIG,3,3,0.0024,0.0018,0.0041,
ABIG,3,4,0.0021,0.0023,0.0039,
ABIG,3,5,0.0022,0.0027,0.005,
ABIG,2,1,0.0031,0.0036,0.0067,
ABIG,2,2,0.0018,0.0021,0.0042,
ABIG,2,3,0.0008,0.0017,0.003,
ABIG,2,4,0.0028,0.0027,0.0056,
ABIG,1,1,0.0017,0.0012,0.003,
ABIG,1,2,0.0017,0.0027,0.0047,
ABIG,1,3,0.0005,0.0003,0.0008,
ABIG,1,4,0.0014,0.0016,0.0033,
ABIG,1,5,0.0021,0.0023,0.0045,
