rna_sample_id,pot,seedling_id,sample_id,species_code,rna_notes
1,A4,15,A4-6,ABIG,NA
2,A5,16,A5-1,ABIG,NA
3,A6,24,A6-3,ABIG,NA
4,A10,62,A10-8,ABIG,NA
5,A11,69,A11-3,ABIG,NA
6,A12,83,A12-5,ABIG,NA
13,A16,103,A16-4,BDIA,NA
14,A17,108,A17-3,BDIA,NA
15,A18,112,A18-1,BDIA,NA
23,A22,155,A22-11,BDIA,Sample from pot A22 labeled as A83
17,A23,165,A23-9,BDIA,NA
18,A24,180,A24-12,BDIA,NA
43,A25,181,A25-1,BDIA,NA
37,A25,184,A25-4,ABIG,NA
44,A26,188,A26-2,BDIA,NA
38,A26,192,A26-6,ABIG,NA
39,A27,193,A27-1,ABIG,NA
45,A27,194,A27-2,BDIA,NA
40,A37,289,A37-1,ABIG,NA
46,A37,294,A37-6,BDIA,NA
41,A38,309,A38-9,ABIG,NA
47,A38,310,A38-10,BDIA,NA
48,A39,313,A39-1,BDIA,NA
42,A39,319,A39-7,ABIG,NA
7,A46,374,A46-5,ABAR,NA
8,A47,380,A47-5,ABAR,NA
9,A48,385,A48-4,ABAR,NA
10,A52,425,A52-11,ABAR,NA
11,A53,437,A53-11,ABAR,NA
12,A54,447,A54-9,ABAR,NA
31,A55,452,A55-2,ABAR,NA
25,A55,454,A55-4,ABIG,NA
26,A56,459,A56-3,ABIG,NA
32,A56,461,A56-5,ABAR,NA
27,A57,468,A57-6,ABAR,NA
34,A67,565,A67-7,ABAR,NA
28,A67,568,A67-10,ABIG,NA
29,A68,574,A68-4,ABIG,NA
35,A68,582,A68-12,ABAR,NA
36,A69,583,A69-1,ABAR,NA
30,A69,591,A69-9,ABIG,NA
19,A76,640,A76-1,ECUR,NA
20,A77,647,A77-2,ECUR,NA
21,A78,657,A78-6,ECUR,NA
22,A82,694,A82-10,ECUR,NA
16,A83,700,A83-4,ECUR,Sample from pot A83 labeled as A22
24,A84,716,A84-8,ECUR,NA
49,A85,721,A85-1,ABIG,NA
55,A85,726,A85-6,ECUR,NA
56,A86,729,A86-3,ECUR,NA
50,A86,731,A86-5,ABIG,NA
51,A87,736,A87-4,ABIG,NA
57,A87,738,A87-6,ECUR,NA
52,A97,835,A97-7,ABIG,NA
58,A98,844,A98-4,ABIG,NA
53,A98,851,A98-11,ABIG,NA
59,A98,852,A98-12,ECUR,NA
60,A99,855,A99-3,ECUR,NA
54,A99,864,A99-12,ABIG,NA
61,B4,911,B4-2,ABIG,NA
62,B5,917,B5-2,ABIG,NA
63,B6,923,B6-2,ABIG,NA
64,B10,957,B10-3,ABIG,NA
65,B11,974,B11-8,ABIG,NA
66,B12,988,B12-10,ABIG,NA
73,B16,1003,B16-4,BDIA,NA
74,B17,1010,B17-5,BDIA,NA
75,B18,1013,B18-2,BDIA,NA
76,B22,1053,B22-9,BDIA,NA
77,B23,1066,B23-10,BDIA,NA
78,B24,1071,B24-3,BDIA,NA
