seedling_id,species_code,block,pot,position,sample_id,planting_notes,date_planted,date_sampled,age_days,native,exotic,biomass_weight_g,seed_weight_g,husk_number,seed_number,total_area,total_leaf_weight_g,total_SLA,fertility,exotic_species_code,total_density
361,ABAR,A,A43,1,A43-1,NA,25/09/2016,16/12/2016,82,0,1,0.0469,0.0188,2,2,NA,NA,NA,LOW,ABAR,3
362,ABAR,A,A43,2,A43-2,NA,25/09/2016,16/12/2016,82,0,1,0.1832,0.0083,14,4,NA,NA,NA,LOW,ABAR,3
363,ABAR,A,A43,3,A43-3,NA,25/09/2016,16/12/2016,82,0,1,0.1159,0.0083,8,2,NA,NA,NA,LOW,ABAR,3
364,ABAR,A,A44,1,A44-1,NA,25/09/2016,15/12/2016,81,0,1,0.5912,0.0592,32,13,NA,NA,NA,MED,ABAR,3
365,ABAR,A,A44,2,A44-2,NA,25/09/2016,15/12/2016,81,0,1,0.06639,0.076,24,11,NA,NA,NA,MED,ABAR,3
366,ABAR,A,A44,3,A44-3,NA,25/09/2016,15/12/2016,81,0,1,0.357,0.0322,18,3,NA,NA,NA,MED,ABAR,3
367,ABAR,A,A45,1,A45-1,NA,25/09/2016,16/12/2016,82,0,1,0.4011,0.1689,16,16,NA,NA,NA,HIGH,ABAR,3
368,ABAR,A,A45,2,A45-2,NA,25/09/2016,16/12/2016,82,0,1,0.4599,0.0094,30,4,NA,NA,NA,HIGH,ABAR,3
369,ABAR,A,A45,3,A45-3,NA,25/09/2016,16/12/2016,82,0,1,0.9958,0.062,58,14,NA,NA,NA,HIGH,ABAR,3
370,ABAR,A,A46,1,A46-1,NA,25/09/2016,16/12/2016,82,0,1,0.1023,0.007,4,1,NA,NA,NA,LOW,ABAR,6
371,ABAR,A,A46,2,A46-2,NA,25/09/2016,16/12/2016,82,0,1,0.1019,0.009,6,2,NA,NA,NA,LOW,ABAR,6
372,ABAR,A,A46,3,A46-3,NA,25/09/2016,16/12/2016,82,0,1,0.0583,NA,2,NA,NA,NA,NA,LOW,ABAR,6
373,ABAR,A,A46,4,A46-4,NA,25/09/2016,16/12/2016,82,0,1,0.0684,NA,4,NA,NA,NA,NA,LOW,ABAR,6
374,ABAR,A,A46,5,A46-5,NA,25/09/2016,16/12/2016,82,0,1,0.1236,0.013,4,2,4.508,0.0095,474.5263157894737,LOW,ABAR,6
375,ABAR,A,A46,6,A46-6,NA,25/09/2016,16/12/2016,82,0,1,0.0663,0.0211,6,4,NA,NA,NA,LOW,ABAR,6
376,ABAR,A,A47,1,A47-1,NA,25/09/2016,16/12/2016,82,0,1,0.2205,0.0167,12,3,NA,NA,NA,MED,ABAR,6
377,ABAR,A,A47,2,A47-2,NA,25/09/2016,16/12/2016,82,0,1,0.2241,0.0165,12,1,NA,NA,NA,MED,ABAR,6
378,ABAR,A,A47,3,A47-3,NA,25/09/2016,16/12/2016,82,0,1,0.2127,0.1489,16,14,NA,NA,NA,MED,ABAR,6
379,ABAR,A,A47,4,A47-4,NA,25/09/2016,16/12/2016,82,0,1,0.3266,0.1137,10,10,NA,NA,NA,MED,ABAR,6
380,ABAR,A,A47,5,A47-5,NA,25/09/2016,16/12/2016,82,0,1,0.1987,0.0997,10,10,5.232,0.0114,458.94736842105266,MED,ABAR,6
