sample_id,seedling_id,husk_number,seed_number
A46-3,372,2,0
A46-4,373,4,0
A48-6,387,16,0
A49-2,389,4,0
A49-3,390,2,0
A49-8,395,2,0
A51-1,406,12,0
A52-4,418,2,0
A52-8,422,2,0
A53-1,427,6,0
A53-2,428,6,0
A53-4,430,6,0
A53-5,431,8,0
A53-6,432,6,0
A53-8,434,9,1
A53-9,435,6,0
A53-12,438,6,0
A54-1,439,6,0
A54-3,441,6,0
A54-5,443,8,0
A54-6,444,8,0
A54-7,445,14,0
A54-8,446,4,0
A54-11,449,8,0
A54-12,450,9,0
A55-3,453,10,0
A56-4,460,16,0
A60-4,490,20,0
A60-8,494,4,0
A61-2,497,4,0
A61-4,499,4,0
A61-7,502,2,0
A61-9,504,2,0
A62-1,508,4,0
A62-11,518,8,0
A63-11,530,10,0
A64-1,532,6,0
A64-5,536,2,0
A66-7,556,22,0
A67-5,563,4,0
A67-7,565,4,0
A68-5,575,8,0
A68-6,576,4,0
A68-7,577,6,0
A69-6,588,12,0
A69-8,590,10,0
A70-5,599,4,0
A70-9,603,4,0
B43-2,1262,8,0
B44-1,1264,22,0
B47-1,1276,12,0
B47-6,1281,14,0
B48-4,1285,18,0
B48-5,1286,26,
B49-1,1288,4,0
B49-2,1289,4,0
B49-3,1290,4,0
B49-4,1291,4,0
B49-7,1294,4,0
B49-8,1295,2,0
B49-9,1296,4,0
B50-2,1298,8,0
B50-3,1299,10,0
B50-8,1304,6,0
B51-1,1306,19,0
B51-4,1309,8,0
B51-5,1310,20,0
B51-6,1311,14,0
B51-8,1313,18,0
B51-9,1314,16,0
B52-1,1315,4,0
B52-3,1317,2,0
B52-5,1319,2,0
B52-6,1320,4,0
B52-7,1321,2,0
B52-9,1323,4,0
B52-11,1325,4,0
B53-1,1327,6,0
B53-4,1330,7,0
B53-5,1331,6,0
B53-6,1332,6,0
B53-7,1333,8,
B53-8,1334,4,0
B53-10,1336,12,5
B53-11,1337,12,5
B56-1,1357,8,0
B56-4,1360,13,4
B58-2,1370,6,0
B58-7,1375,4,0
B58-8,1376,4,1
B58-9,1377,4,0
B62-4,1411,10,3
B62-5,1412,10,2
B62-8,1415,14,4
B62-9,1416,4,0
B62-10,1417,16,4
B62-12,1419,10,0
B63-1,1420,10,0
B63-3,1422,8,
B63-7,1426,14,0
B63-8,1427,12,0
B64-1,1432,4,0
B64-5,1436,6,0
B64-9,1440,6,0
B65-2,1442,14,3
B65-6,1446,8,0
B67-2,1460,4,0
B67-3,1461,2,0
B67-4,1462,4,0
B67-8,1466,2,0
B68-4,1474,8,0
B68-7,1477,6,0
B68-12,1482,12,0
B69-8,1490,14,0
B69-10,1492,20,0
B72-3,1521,18,0
B72-6,1524,14,0
