seedling_id,sample_id,seed_weight2,seed_number2,husk_number2
91,A13-1,0.0784,,
92,A13-2,0.1067,,
93,A13-3,0.1019,,
94,A14-1,0.3511,,
95,A14-2,0.2273,,
96,A14-3,0.2537,,
97,A15-1,0.5059,,
98,A15-2,0.6324,,
99,A15-3,0.6722,,
100,A16-1,0.0565,,
101,A16-2,0.0462,,
102,A16-3,0.0534,,
103,A16-4,0.0316,,
104,A16-5,0.0385,,
105,A16-6,0.0491,,
106,A17-1,0.1782,,
108,A17-3,0.1737,,
109,A17-4,0.1616,,
110,A17-5,0.146,,
111,A17-6,0.0429,,
112,A18-1,0.2277,,
113,A18-2,0.1752,,
114,A18-3,0.1332,,
115,A18-4,0.2961,,
116,A18-5,0.4022,,
117,A18-6,0.1844,,
118,A19-1,0.0588,,
119,A19-2,0.0158,,
120,A19-3,0.0361,,
121,A19-4,0.0461,,
122,A19-5,0.0363,,
123,A19-6,0.0581,,
124,A19-7,0.043,,
125,A19-8,0.0365,,
126,A19-9,0.0318,,
127,A20-1,0.1401,,
128,A20-2,0.1716,,
129,A20-3,0.1087,,
130,A20-4,0.1158,,
131,A20-5,0.0932,,
132,A20-6,0.0703,,
133,A20-7,0.0694,,
134,A20-8,0.1643,,
135,A20-9,0.1398,,
136,A21-1,0.2611,,
137,A21-2,0.2307,,
138,A21-3,0.2107,,
139,A21-4,0.1184,,
140,A21-5,0.1575,,
141,A21-6,0.2614,,
142,A21-7,0.186,,
143,A21-8,0.1963,,
144,A21-9,0.323,,
145,A22-1,0.0396,,
146,A22-2,0.044,,
147,A22-3,0.0192,,
148,A22-4,0.0217,,
149,A22-5,0.0421,,
150,A22-6,0.0529,,
151,A22-7,0.0101,,
152,A22-8,0.032,,
153,A22-9,0.0411,,
154,A22-10,0.0531,,
155,A22-11,0.019,,
156,A22-12,0.0396,,
157,A23-1,0.098,,
158,A23-2,0.1067,,
159,A23-3,0.0979,,
160,A23-4,0.1102,,
161,A23-5,0.092,,
162,A23-6,0.097,,
163,A23-7,0.0858,,
164,A23-8,0.0456,,
165,A23-9,0.0598,,
166,A23-10,0.1446,,
167,A23-11,0.0909,,
168,A23-12,0.145,,
169,A24-1,0.1853,,
170,A24-2,0.1337,,
171,A24-3,0.1147,,
172,A24-4,0.1699,,
173,A24-5,0.1152,,
174,A24-6,0.159,,
175,A24-7,0.1284,,
176,A24-8,0.148,,
177,A24-9,0.2039,,
178,A24-10,0.2187,,
179,A24-11,0.142,,
181,A25-1,0.0485,,
182,A25-2,0.0939,,
186,A25-6,0.0866,,
188,A26-2,0.2326,,
189,A26-3,0.235,,
191,A26-5,0.2291,,
194,A27-2,0.2741,,
195,A27-3,0.3496,,
199,A28-1,0.0085,,
200,A28-2,0.0474,,
203,A28-5,0.0403,,
