block,pot,position,sample_id,species,seedling_id,seed_weight_g,seed_number,seed_notes
A,1,1,A1-1,ABIG,1,,,
A,1,2,A1-2,RCAES,2,,,
A,1,3,A1-3,PLAB,3,,,
A,2,1,A2-1,RCAES,4,,,
A,2,2,A2-2,ABIG,5,,,
A,2,3,A2-3,PLAB,6,,,
A,3,1,A3-1,ABIG,7,,,
A,3,2,A3-2,PLAB,8,,,
A,3,3,A3-3,RCAES,9,,,
A,4,1,A4-1,RCAES,10,,,
A,4,2,A4-2,ABIG,11,,,
A,4,3,A4-3,PLAB,12,,,
A,4,4,A4-4,PLAB,13,,,
A,4,5,A4-5,RCAES,14,,,
A,4,6,A4-6,ABIG,15,,,
A,5,1,A5-1,ABIG,16,,,
A,5,2,A5-2,ABIG,17,,,
A,5,3,A5-3,PLAB,18,,,
A,5,4,A5-4,RCAES,19,,,
A,5,5,A5-5,RCAES,20,,,
A,5,6,A5-6,PLAB,21,,,
A,6,1,A6-1,ABIG,22,,,
A,6,2,A6-2,RCAES,23,,,
A,6,3,A6-3,ABIG,24,,,
A,6,4,A6-4,PLAB,25,,,
A,6,5,A6-5,RCAES,26,,,
A,6,6,A6-6,PLAB,27,,,
A,7,1,A7-1,RCAES,28,,,
A,7,2,A7-2,RCAES,29,,,
A,7,3,A7-3,PLAB,30,,,
A,7,4,A7-4,PLAB,31,,,
A,7,5,A7-5,ABIG,32,,,
A,7,6,A7-6,PLAB,33,,,
A,7,7,A7-7,ABIG,34,,,
A,7,8,A7-8,ABIG,35,,,
A,7,9,A7-9,RCAES,36,,,
A,8,1,A8-1,ABIG,37,,,
A,8,2,A8-2,RCAES,38,,,
A,8,3,A8-3,RCAES,39,,,
A,8,4,A8-4,RCAES,40,,,
A,8,5,A8-5,ABIG,41,,,
A,8,6,A8-6,PLAB,42,,,
A,8,7,A8-7,PLAB,43,,,
A,8,8,A8-8,PLAB,44,,,
A,8,9,A8-9,ABIG,45,,,
A,9,1,A9-1,ABIG,46,,,
A,9,2,A9-2,PLAB,47,,,
A,9,3,A9-3,ABIG,48,,,
A,9,4,A9-4,RCAES,49,,,
A,9,5,A9-5,PLAB,50,,,
A,9,6,A9-6,PLAB,51,,,
A,9,7,A9-7,RCAES,52,,,
A,9,8,A9-8,ABIG,53,,,
A,9,9,A9-9,RCAES,54,,,
A,10,1,A10-1,PLAB,55,,,
A,10,2,A10-2,PLAB,56,,,
A,10,3,A10-3,RCAES,57,,,
A,10,4,A10-4,PLAB,58,,,
A,10,5,A10-5,ABIG,59,,,
A,10,6,A10-6,RCAES,60,,,
A,10,7,A10-7,RCAES,61,,,
A,10,8,A10-8,ABIG,62,,,
A,10,9,A10-9,ABIG,63,0.0105,,
A,10,10,A10-10,ABIG,64,,,
A,10,11,A10-11,PLAB,65,,,
A,10,12,A10-12,RCAES,66,,,
A,11,1,A11-1,RCAES,67,,,
A,11,2,A11-2,ABIG,68,,,
A,11,3,A11-3,ABIG,69,,,
A,11,4,A11-4,PLAB,70,,,
A,11,5,A11-5,RCAES,71,,,
A,11,6,A11-6,ABIG,72,,,
A,11,7,A11-7,RCAES,73,,,
A,11,8,A11-8,RCAES,74,,,
A,11,9,A11-9,PLAB,75,,,
A,11,10,A11-10,PLAB,76,,,
A,11,11,A11-11,ABIG,77,,,
A,11,12,A11-12,PLAB,78,,,
A,12,1,A12-1,RCAES,79,,,
A,12,2,A12-2,PLAB,80,,,
A,12,3,A12-3,PLAB,81,,,
A,12,4,A12-4,ABIG,82,0.045,,
A,12,5,A12-5,ABIG,83,,,
A,12,6,A12-6,RCAES,84,,,
A,12,7,A12-7,RCAES,85,,,
A,12,8,A12-8,ABIG,86,,,
A,12,9,A12-9,RCAES,87,,,
