seedling_id,sample_id,seed_weight_g,seed_notes,husk_number,seed_number
63,A10-9,0.0105,NA,NA,NA
82,A12-4,0.045,NA,NA,NA
91,A13-1,0.0784,NA,NA,NA
92,A13-2,0.1067,NA,NA,NA
93,A13-3,0.1019,NA,NA,NA
94,A14-1,0.3511,NA,NA,NA
95,A14-2,0.2273,NA,NA,NA
96,A14-3,0.2537,NA,NA,NA
97,A15-1,0.5059,NA,NA,NA
98,A15-2,0.6324,NA,NA,NA
99,A15-3,0.6722,NA,NA,NA
100,A16-1,0.0565,NA,NA,NA
101,A16-2,0.0462,NA,NA,NA
102,A16-3,0.0534,NA,NA,NA
103,A16-4,0.0316,NA,NA,NA
104,A16-5,0.0385,NA,NA,NA
105,A16-6,0.0491,NA,NA,NA
106,A17-1,0.1782,NA,NA,NA
108,A17-3,0.1737,NA,NA,NA
109,A17-4,0.1616,NA,NA,NA
110,A17-5,0.146,NA,NA,NA
111,A17-6,0.0429,NA,NA,NA
112,A18-1,0.2277,NA,NA,NA
113,A18-2,0.1752,NA,NA,NA
114,A18-3,0.1332,NA,NA,NA
115,A18-4,0.2961,NA,NA,NA
116,A18-5,0.4022,NA,NA,NA
117,A18-6,0.1844,NA,NA,NA
118,A19-1,0.0588,NA,NA,NA
119,A19-2,0.0158,NA,NA,NA
120,A19-3,0.0361,NA,NA,NA
121,A19-4,0.0461,NA,NA,NA
122,A19-5,0.0363,NA,NA,NA
3604,A19-10,0.0209,NA,NA,NA
123,A19-6,0.0581,NA,NA,NA
124,A19-7,0.043,NA,NA,NA
125,A19-8,0.0365,NA,NA,NA
126,A19-9,0.0318,NA,NA,NA
127,A20-1,0.1401,NA,NA,NA
128,A20-2,0.1716,NA,NA,NA
129,A20-3,0.1087,NA,NA,NA
130,A20-4,0.1158,NA,NA,NA
131,A20-5,0.0932,NA,NA,NA
132,A20-6,0.0703,NA,NA,NA
133,A20-7,0.0694,NA,NA,NA
134,A20-8,0.1643,NA,NA,NA
135,A20-9,0.1398,NA,NA,NA
136,A21-1,0.2611,NA,NA,NA
137,A21-2,0.2307,NA,NA,NA
138,A21-3,0.2107,NA,NA,NA
139,A21-4,0.1184,NA,NA,NA
140,A21-5,0.1575,NA,NA,NA
