seedling_id,species_code,block,pot,position,sample_id,planting_notes,date_planted,date_sampled,age_days,native,exotic
1,ABIG,A,A1,1,A1-1,NA,25/09/2016,15/12/2016,81,1,0
2,RCAES,A,A1,2,A1-2,NA,25/09/2016,15/12/2016,81,1,0
3,PLAB,A,A1,3,A1-3,NA,25/09/2016,15/12/2016,81,1,0
4,RCAES,A,A2,1,A2-1,NA,25/09/2016,15/12/2016,81,1,0
5,ABIG,A,A2,2,A2-2,NA,25/09/2016,15/12/2016,81,1,0
6,PLAB,A,A2,3,A2-3,NA,25/09/2016,15/12/2016,81,1,0
7,ABIG,A,A3,1,A3-1,NA,25/09/2016,16/12/2016,82,1,0
8,PLAB,A,A3,2,A3-2,NA,25/09/2016,16/12/2016,82,1,0
9,RCAES,A,A3,3,A3-3,NA,25/09/2016,16/12/2016,82,1,0
10,RCAES,A,A4,1,A4-1,NA,25/09/2016,15/12/2016,81,1,0
11,ABIG,A,A4,2,A4-2,NA,25/09/2016,15/12/2016,81,1,0
12,PLAB,A,A4,3,A4-3,NA,25/09/2016,15/12/2016,81,1,0
13,PLAB,A,A4,4,A4-4,NA,25/09/2016,15/12/2016,81,1,0
14,RCAES,A,A4,5,A4-5,NA,25/09/2016,15/12/2016,81,1,0
15,ABIG,A,A4,6,A4-6,NA,25/09/2016,15/12/2016,81,1,0
16,ABIG,A,A5,1,A5-1,NA,25/09/2016,16/12/2016,82,1,0
17,ABIG,A,A5,2,A5-2,NA,25/09/2016,16/12/2016,82,1,0
18,PLAB,A,A5,3,A5-3,NA,25/09/2016,16/12/2016,82,1,0
19,RCAES,A,A5,4,A5-4,NA,25/09/2016,16/12/2016,82,1,0
20,RCAES,A,A5,5,A5-5,NA,25/09/2016,16/12/2016,82,1,0
21,PLAB,A,A5,6,A5-6,NA,25/09/2016,16/12/2016,82,1,0
22,ABIG,A,A6,1,A6-1,NA,25/09/2016,15/12/2016,81,1,0
23,RCAES,A,A6,2,A6-2,NA,25/09/2016,15/12/2016,81,1,0
