seedling_id,sample_id,leaf_id,leaf_area_cm2,leaf_perimeter_cm,area_notes
15,A4-6,1,2.928,23.94,
15,A4-6,2,3.089,23.635,
15,A4-6,3,3.613,28.215,
16,A5-1,1,6.445,27.18,
16,A5-1,2,5.413,25.757,
24,A6-3,1,7.493,35.498,
24,A6-3,2,6.273,30.512,
62,A10-8,1,1.867,15.891,
62,A10-8,2,2.093,20.226,
69,A11-3,1,4.149,25.231,
69,A11-3,2,4.084,30.208,
83,A12-5,1,5.966,31.376,
83,A12-5,2,3.569,18.97,
103,A16-4,1,1.469,11.444,
103,A16-4,2,1.136,7.385,
103,A16-4,3,5.523,41.154,
108,A17-3,1,12.083,45.584,
108,A17-3,2,7.146,24.738,
108,A17-3,3,6.021,24.372,
112,A18-1,1,5.503,23.742,
112,A18-1,2,2.546,12.864,
155,A22-11,1,0.728,8.554,
155,A22-11,2,1,8.384,
155,A22-11,3,1.41,12.152,
165,A23-9,1,2.914,15.906,
165,A23-9,2,2.27,15.003,
165,A23-9,3,1.215,10.464,
180,A24-12,1,4.877,19.086,
180,A24-12,2,3.595,18.993,
181,A25-1,1,1.04,6.815,
181,A25-1,2,3.171,19.017,
184,A25-4,1,2.615,18.979,
184,A25-4,2,2.885,27.18,
188,A26-2,1,11.99,41.752,
188,A26-2,2,8.214,30.887,
188,A26-2,3,6.325,20.42,
192,A26-6,1,4.976,30.876,
192,A26-6,2,4.6,25.341,
193,A27-1,1,5.382,32.722,
193,A27-1,2,4.737,27.152,
194,A27-2,1,5.795,21.939,
194,A27-2,2,3.029,13.607,
194,A27-2,3,1.648,12.322,
289,A37-1,1,1.511,15.486,
289,A37-1,2,1.315,14.017,
294,A37-6,1,0.89,6.454,
294,A37-6,2,1.787,13.172,
309,A38-9,1,2.462,19.165,
309,A38-9,2,2.587,23.098,
310,A38-10,1,5.251,23.556,
310,A38-10,2,2.924,12.097,
310,A38-10,3,1.866,12.535,
313,A39-1,1,2.336,10.349,
313,A39-1,2,5.19,23.396,
313,A39-1,3,6.35,28.612,
319,A39-7,1,3.327,20.431,
319,A39-7,2,4.518,29.161,
385,A48-4,1,4.876,27.688,
374,A46-5,1,2.419,14.322,
374,A46-5,2,2.089,19.89,
380,A47-5,1,1.415,10.131,
380,A47-5,2,3.817,26.307,
437,A53-11,1,0.363,6.291,
437,A53-11,2,0.588,5.488,
437,A53-11,3,0.723,5.66,
447,A54-9,1,1.105,11.411,
447,A54-9,2,3.731,21.868,
447,A54-9,3,2.927,17.928,
425,A52-11,1,2.165,18.197,
425,A52-11,2,0.304,5.703,
452,A55-2,1,0.794,9.366,
452,A55-2,2,0.994,7.887,
454,A55-4,1,1.888,17.354,
454,A55-4,2,2.562,22.606,
459,A56-3,1,4.425,29.471,
459,A56-3,2,4.914,29.751,
461,A56-5,1,4.41,30.715,
461,A56-5,2,3.069,16.212,
467,A57-5,1,5.487,30.533,
467,A57-5,2,3.477,19.044,
583,A69-1,1,1.038,7.072,
583,A69-1,2,0.807,7.106,
583,A69-1,3,0.863,9.33,
583,A69-1,4,0.62,7.365,
591,A69-9,1,4.949,25.681,
591,A69-9,2,4.846,23.594,
565,A67-7,1,0.715,9.223,
565,A67-7,2,0.869,7.891,
568,A67-10,1,2.4,22.094,
568,A67-10,2,2.258,22.335,
574,A68-4,1,3.703,24.049,
574,A68-4,2,3.857,22.139,
582,A68-12,1,1.242,10.988,
582,A68-12,2,0.908,8.465,
640,A76-1,1,1.702,36.482,
640,A76-1,2,0.149,7.301,
647,A77-2,1,3.137,40.93,
647,A77-2,2,1.706,31.99,
647,A77-2,3,2.897,43.391,
657,A78-6,1,2.141,33.191,
657,A78-6,2,1.112,31.877,
657,A78-6,3,2.633,30.71,
657,A78-6,4,2.251,39.203,
657,A78-6,5,1.828,29.199,
657,A78-6,6,1.384,34.339,
694,A82-10,1,1.154,30.82,
694,A82-10,2,0.655,23.244,
716,A84-8,1,2.046,32.95,
716,A84-8,4,2.115,27.91,
716,A84-8,5,0.932,30.281,
716,A84-8,2&3,2.991,57.838,
721,A85-1,1,4.217,23.858,
721,A85-1,2,3.694,27.661,
726,A85-6,1,1.498,31.713,
726,A85-6,2,1.737,43.203,
726,A85-6,3,1.188,23.429,
729,A86-3,1,2.558,42.44,
729,A86-3,2,1.868,29.817,
729,A86-3,3,2.06,54.266,
731,A86-5,1,7.373,38.001,
731,A86-5,2,6.285,26.665,
736,A87-4,1,8.165,39.361,
736,A87-4,2,6.72,28.737,
736,A87-4,3,5.635,27.11,
738,A87-6,1,2.705,41.152,
738,A87-6,2,2.064,42.316,
738,A87-6,3,2.134,43.399,
701,A83-5,1,2.473,48.14,
701,A83-5,2,2.911,64.496,
701,A83-5,3,2.129,45.395,
832,A97-4,1,0.809,20.121,
832,A97-4,2,0.698,22.777,
835,A97-7,1,1.766,15.457,
835,A97-7,2,2.278,18.256,
851,A98-11,1,9.976,49.961,
851,A98-11,2,7.802,38.52,
852,A98-12,1,1.047,25.655,
852,A98-12,2,2.703,47.738,
852,A98-12,3,2.634,46.763,
855,A99-3,1,0.71,20.684,
855,A99-3,2,2.078,51.159,
855,A99-3,3,1.43,36.59,
855,A99-3,4,0.798,21.666,
864,A99-12,1,6.294,32.67,
864,A99-12,2,2.759,17.245,
864,A99-12,3,3.918,18.746,
911,B4-2,1,2.643,20.073,
911,B4-2,2,2.955,26.521,
917,B5-2,1,4.066,23.286,
