seedling_id,sample_id,total_leaf_weight_g,leaf_weight_notes
15,A4-6,0.0279,
16,A5-1,0.0369,
62,A10-8,0.0109,
69,A11-3,0.0238,
83,A12-5,0.0318,
103,A16-4,0.0216,
108,A17-3,0.0655,
112,A18-1,0.0187,
155,A22-11,0.0068,
165,A23-9,0.0114,
180,A24-12,0.0205,
181,A25-1,0.009,
184,A25-4,0.013,
188,A26-2,0.0713,
192,A26-6,0.0273,
193,A27-1,0.0354,
194,A27-2,0.0314,
289,A37-1,0.0064,
294,A37-6,0.006,
309,A38-9,0.0163,
310,A38-10,0.0246,
313,A39-1,0.0328,
319,A39-7,0.0213,
374,A46-5,0.0095,
380,A47-5,0.0114,
385,A48-4,0.0135,
425,A52-11,0.0053,
437,A53-11,0.0036,
447,A54-9,0.0194,
452,A55-2,0.0036,
459,A56-3,0.0279,
461,A56-5,0.0201,
467,A57-5,0.0297,
565,A67-7,0.0027,
568,A67-10,0.0105,
574,A68-4,0.0213,
582,A68-12,0.0045,
583,A69-1,0.0075,
591,A69-9,0.0307,
640,A76-1,0.0102,
647,A77-2,0.0422,
657,A78-6,0.0663,
701,A83-5,0.0392,
716,A84-8,0.0371,
721,A85-1,0.0199,
726,A85-6,0.0205,
729,A86-3,0.035,
731,A86-5,0.0428,
736,A87-4,0.0585,
738,A87-6,0.0328,
832,A97-4,0.008,
835,A97-7,0.0111,
851,A98-11,0.0515,
852,A98-12,0.0295,
855,A99-3,0.0259,
864,A99-12,0.0403,
911,B4-2,0.0184,
917,B5-2,0.0326,
923,B6-2,0.0486,
957,B10-3,0.0129,
974,B11-8,0.0438,
988,B12-10,0.0331,
1003,B16-4,0.0192,
1010,B17-5,0.0141,
1053,B22-9,0.0033,
1066,B23-10,0.014,
1071,B24-3,0.0352,
1085,B25-5,0.0166,
1088,B26-2,0.0266,
1089,B26-3,0.0374,
1094,B27-2,0.0376,
1096,B27-4,0.0513,
1192,B37-4,0.0114,
1200,B37-12,0.012,
1206,B38-6,0.0197,
1217,B39-5,0.0244,
1224,B39-12,0.0159,
1277,B47-2,0.0132,
1282,B48-1,0.0276,
1318,B52-4,0.0084,
1333,B53-7,0.0125,
1343,B54-5,0.0163,
1351,B55-1,0.0043,
1354,B55-4,0.0131,
1362,B56-6,0.0077,
1367,B57-5,0.0581,
1368,B57-6,0.009,
1464,B67-6,0.0057,
1468,B67-10,0.0043,
1478,B68-8,0.019,
1481,B68-11,0.0062,
1485,B69-3,0.0238,
1491,B69-9,0.0246,
1542,B76-3,0.0273,
1547,B77-2,0.035,
1555,B78-4,0.0585,
1586,B82-2,0.0102,
1603,B83-7,0.0291,
1609,B84-1,0.047,
1623,B85-3,0.0229,
1626,B85-6,0.0165,
1629,B86-3,0.0475,
1632,B86-6,0.0398,
1633,B87-1,0.0668,
1634,B87-2,0.05,
1733,B97-5,0.005,
1738,B97-10,0.0144,
1748,B98-8,0.0585,
1750,B98-10,0.0231,
1753,B99-1,0.0268,
1761,B99-9,0.045,
1813,C4-4,0.0269,
1819,C5-4,0.0536,
1822,C6-1,0.0358,
1865,C10-11,0.0108,
1867,C11-1,0.0344,
1882,C12-4,0.0511,
1904,C16-5,0.0138,
1908,C17-3,0.0426,
1912,C18-1,0.0285,
1965,C23-9,0.0176,
1970,C24-2,0.0357,
1981,C25-1,0.0152,
1985,C25-5,0.0168,
1991,C26-5,0.0363,
1992,C26-6,0.0511,
1996,C27-4,0.1004,
1997,C27-5,0.0349,
2092,C37-4,0.0066,
2095,C37-7,0.007,
2106,C38-6,0.0224,
2108,C38-8,0.0241,
2121,C39-9,0.0513,
2173,C46-4,0.0088,
2177,C47-2,0.0239,
2185,C48-4,0.042,
2222,C52-8,0.0054,
2234,C53-8,0.0136,
2242,C54-4,0.0072,
2253,C55-3,0.02,
2255,C55-5,0.0108,
2259,C56-3,0.0413,
2260,C56-4,0.021,
2359,C67-1,0.0081,
2361,C67-3,0.0072,
2386,C69-4,0.0281,
2373,C68-3,0.0204,
2377,C68-7,0.0106,
2442,C76-3,0.0251,"Marked as 2440, ECUR"
2451,C77-6,0.0332,
2452,C78-1,0.0807,
2489,C82-5,0.0165,
2505,C83-9,0.0372,
2522,C85-2,0.0308,
2526,C85-6,0.0221,
2527,C86-1,0.055,
2528,C86-2,0.0233,
2534,C87-2,0.0598,
2537,C87-5,0.0428,
2635,C97-7,0.0298,
2632,C97-4,0.0195,
2648,C98-8,0.0424,
2650,C98-10,0.0131,
2658,C99-6,0.0562,
2664,C99-12,0.0332,
2710,D4-1,0.0252,
2711,D4-2,0.0098,
2712,D4-3,0.0108,
2713,D4-4,0.0264,
2714,D4-5,0.0129,
2715,D4-6,0.0146,
2716,D5-1,0.0206,
2717,D5-2,0.0182,
2718,D5-3,0.0541,
2719,D5-4,0.0272,
2720,D5-5,0.0315,
2721,D5-6,0.0595,
2726,D6-5,0.0695,
2759,D10-5,0.0072,
2778,D11-12,0.0528,
2779,D12-1,0.0306,
2800,D16-1,0.013,
2809,D17-4,0.024,
2814,D18-3,0.0948,
2845,D22-1,0.0155,
2846,D22-2,0.0068,
2847,D22-3,0.0155,
2848,D22-4,0.0039,
2850,D22-6,0.0026,
2851,D22-7,0.0042,
2852,D22-8,0.0135,
2853,D22-9,0.0079,
2854,D22-10,0.0161,
2855,D22-11,0.0168,
2856,D22-12,0.0228,
2860,D23-4,0.0358,
2869,D24-1,0.033,
2870,D24-2,0.0142,
2871,D24-3,0.0169,
2873,D24-5,0.0319,
2874,D24-6,0.0138,
2875,D24-7,0.0156,
2876,D24-8,0.0147,
2877,D24-9,0.0065,
2878,D24-10,0.0113,
2879,D24-11,0.0387,
2884,D25-4,0.0265,
2885,D25-5,0.0141,
2888,D26-2,0.0308,
2892,D26-6,0.0488,
2893,D27-1,0.0541,
2894,D27-2,0.0589,
2895,D27-3,0.0366,
2896,D27-4,0.0215,
2897,D27-5,0.0323,
2898,D27-6,0.0887,
2899,D28-1,0.0132,
2900,D28-2,0.0146,
2902,D28-4,0.0091,
2903,D28-5,0.0067,
2904,D28-6,0.0243,
2905,D28-7,0.0242,
2906,D28-8,0.0169,
2907,D28-9,0.016,
2995,D37-7,0.0088,
3000,D37-12,0.0157,
3002,D38-2,0.0143,
3010,D38-10,0.0222,
3013,D39-1,0.0279,
3014,D39-2,0.0243,
3015,D39-3,0.0106,
3016,D39-4,0.0026,
3017,D39-5,0.0442,
3018,D39-6,0.0584,
3019,D39-7,0.0559,
3020,D39-8,0.0578,
3021,D39-9,0.015,
3022,D39-10,0.0291,
3023,D39-11,0.0272,
3024,D39-12,0.0828,
3071,D46-2,0.0157,
3078,D47-3,0.0159,No corresponding leaf area
3082,D48-1,0.0237,
3118,D52-4,0.0052,
3134,D53-8,0.0146,
3152,D55-2,0.0238,
3154,D55-4,0.0094,
3157,D56-1,0.0232,
3159,D56-3,0.018,
3165,D57-3,0.055,
3168,D57-6,0.0519,
3250,D66-1,0.0346,
3251,D66-2,0.0409,
3252,D66-3,0.0335,
3253,D66-4,0.0316,
3254,D66-5,0.0331,
3255,D66-6,0.0296,
3256,D66-7,0.0516,
3257,D66-8,0.0322,
3258,D66-9,0.0369,
3263,D67-5,0.0096,
3270,D67-12,0.0164,
3274,D68-4,0.0147,
3275,D68-5,0.0337,
3284,D69-2,0.021,
3285,D69-3,0.011,
3286,D69-4,0.0447,
3287,D69-5,0.0143,
3288,D69-6,0.022,
3289,D69-7,0.0189,
3291,D69-9,0.0222,
3293,D69-11,0.0236,
3343,D76-4,0.0208,
3350,D77-5,0.0341,
3354,D78-3,0.0425,
3391,D82-7,0.0058,
694,A82-10,0.0102,
3400,D83-4,0.0326,
3410,D84-2,0.0481,
3422,D85-2,0.0217,
3425,D85-5,0.0102,
3427,D86-1,0.0331,
3429,D86-3,0.06,
3434,D87-2,0.0278,
3438,D87-6,0.0942,
3537,D97-9,0.0173,
3539,D97-11,0.0214,
3543,D98-3,0.0229,
3548,D98-8,0.0146,
2872,D24-4,0.0339,Unclear label on envelope
