sample_id,seedling_id,total_area,total_leaf_weight_g,leaf_weight_notes,total_SLA
A10-8,62,3.96,0.0109,NA,363.30275229357795
A11-3,69,8.233,0.0238,NA,345.92436974789916
A12-5,83,9.535,0.0318,NA,299.84276729559747
A16-4,103,8.128,0.0216,NA,376.2962962962963
A17-3,108,25.25,0.0655,NA,385.4961832061069
A18-1,112,8.049,0.0187,NA,430.42780748663097
A22-11,155,3.138,0.0068,NA,461.47058823529414
A23-9,165,6.399,0.0114,NA,561.3157894736842
A24-12,180,8.472,0.0205,NA,413.2682926829268
A25-1,181,4.211,0.009,NA,467.88888888888897
A25-4,184,5.5,0.013,NA,423.0769230769231
A26-2,188,26.529,0.0713,NA,372.07573632538566
A26-6,192,9.576,0.0273,NA,350.7692307692308
A27-1,193,10.119,0.0354,NA,285.8474576271186
A27-2,194,10.472,0.0314,NA,333.5031847133758
A37-1,289,2.8259999999999996,0.0064,NA,441.56249999999994
A37-6,294,2.677,0.006,NA,446.1666666666667
A38-10,310,10.041,0.0246,NA,408.1707317073171
A38-9,309,5.049,0.0163,NA,309.75460122699394
A39-1,313,13.876,0.0328,NA,423.04878048780483
A39-7,319,7.845,0.0213,NA,368.3098591549296
A4-6,15,9.629999999999999,0.0279,NA,345.1612903225806
A46-5,374,4.508,0.0095,NA,474.5263157894737
A47-5,380,5.232,0.0114,NA,458.94736842105266
A48-4,385,4.876,0.0135,NA,361.1851851851852
A5-1,16,11.858,0.0369,NA,321.3550135501355
A52-11,425,2.469,0.0053,NA,465.84905660377353
A53-11,437,1.674,0.0036,NA,465
A54-9,447,7.763,0.0194,NA,400.1546391752577
A55-2,452,1.788,0.0036,NA,496.6666666666667
A55-4,454,4.449999999999999,NA,NA,NA
A56-3,459,9.338999999999999,0.0279,NA,334.7311827956989
A56-5,461,7.479,0.0201,NA,372.089552238806
A57-5,467,8.964,0.0297,NA,301.8181818181818
A6-3,24,13.766,NA,NA,NA
A67-10,568,4.6579999999999995,0.0105,NA,443.61904761904754
A67-7,565,1.584,0.0027,NA,586.6666666666666
A68-12,582,2.15,0.0045,NA,477.77777777777777
A68-4,574,7.5600000000000005,0.0213,NA,354.9295774647888
A69-1,583,3.3280000000000003,0.0075,NA,443.7333333333334
A69-9,591,9.795,0.0307,NA,319.05537459283386
A76-1,640,1.851,0.0102,NA,181.47058823529412
A77-2,647,7.74,0.0422,NA,183.41232227488152
A78-6,657,11.349,0.0663,NA,171.1764705882353
A82-10,694,1.809,0.0102,NA,177.35294117647058
A83-5,701,7.513,0.0392,NA,191.65816326530611
A84-8,716,8.084,0.0371,NA,217.89757412398922
A85-1,721,7.911,0.0199,NA,397.537688442211
A85-6,726,4.423,0.0205,NA,215.7560975609756
A86-3,729,6.486,0.035,NA,185.3142857142857
A86-5,731,13.658000000000001,0.0428,NA,319.1121495327103
A87-4,736,20.52,0.0585,NA,350.7692307692307
A87-6,738,6.9030000000000005,0.0328,NA,210.45731707317074
A97-4,832,1.5070000000000001,0.008,NA,188.375
A97-7,835,4.0440000000000005,0.0111,NA,364.3243243243244
A98-11,851,17.778,0.0515,NA,345.20388349514565
A98-12,852,6.3839999999999995,0.0295,NA,216.40677966101694
A99-12,864,12.971,0.0403,NA,321.86104218362283
A99-3,855,5.016,0.0259,NA,193.66795366795367
B10-3,957,8.67,0.0129,NA,672.0930232558139
B11-8,974,14.852,0.0438,NA,339.0867579908676
B12-10,988,9.952,0.0331,NA,300.66465256797585
B16-4,1003,5.242999999999999,0.0192,NA,273.0729166666667
B17-5,1010,6.405,0.0141,NA,454.2553191489362
B18-2,1013,14.434000000000001,NA,NA,NA
B22-9,1053,1.615,0.0033,NA,489.3939393939394
B23-10,1066,7.461,0.014,NA,532.9285714285714
B24-3,1071,16.167,0.0352,NA,459.28977272727275
B25-2,1082,8.784,NA,NA,NA
B25-5,1085,7.801,0.0166,NA,469.9397590361446
B26-2,1088,11.187000000000001,0.0266,NA,420.5639097744362
B26-3,1089,14.427,0.0374,NA,385.7486631016042
B27-2,1094,12.149000000000001,0.0376,NA,323.1117021276596
