block,pot,fertility,native_dens,exotic_dens,total_dens,exotic_species_code,competition
A,A1,LOW,3,0,3,,intra
A,A2,MED,3,0,3,,intra
A,A3,HIGH,3,0,3,,intra
A,A4,LOW,6,0,6,,intra
A,A5,MED,6,0,6,,intra
A,A6,HIGH,6,0,6,,intra
A,A7,LOW,9,0,9,,intra
A,A8,MED,9,0,9,,intra
A,A9,HIGH,9,0,9,,intra
A,A10,LOW,12,0,12,,intra
A,A11,MED,12,0,12,,intra
A,A12,HIGH,12,0,12,,intra
A,A13,LOW,0,3,3,BDIA,intra
A,A14,MED,0,3,3,BDIA,intra
A,A15,HIGH,0,3,3,BDIA,intra
A,A16,LOW,0,6,6,BDIA,intra
A,A17,MED,0,6,6,BDIA,intra
A,A18,HIGH,0,6,6,BDIA,intra
A,A19,LOW,0,9,9,BDIA,intra
A,A20,MED,0,9,9,BDIA,intra
A,A21,HIGH,0,9,9,BDIA,intra
A,A22,LOW,0,12,12,BDIA,intra
A,A23,MED,0,12,12,BDIA,intra
A,A24,HIGH,0,12,12,BDIA,intra
A,A25,LOW,3,3,6,BDIA,inter
A,A26,MED,3,3,6,BDIA,inter
A,A27,HIGH,3,3,6,BDIA,inter
A,A28,LOW,3,6,9,BDIA,inter
A,A29,MED,3,6,9,BDIA,inter
A,A30,HIGH,3,6,9,BDIA,inter
A,A31,LOW,3,9,12,BDIA,inter
A,A32,MED,3,9,12,BDIA,inter
A,A33,HIGH,3,9,12,BDIA,inter
A,A34,LOW,6,3,9,BDIA,inter
A,A35,MED,6,3,9,BDIA,inter
A,A36,HIGH,6,3,9,BDIA,inter
A,A37,LOW,6,6,12,BDIA,inter
A,A38,MED,6,6,12,BDIA,inter
A,A39,HIGH,6,6,12,BDIA,inter
A,A40,LOW,9,3,12,BDIA,inter
A,A41,MED,9,3,12,BDIA,inter
A,A42,HIGH,9,3,12,BDIA,inter
A,A43,LOW,0,3,3,ABAR,intra
A,A44,MED,0,3,3,ABAR,intra
